"nome","resumo","coordenador"
"OFICINA DE FÍSICA DA BAIXADA FLUMINENSE","Em breve este conteúdo estará disponível.","Pedro Henrique De Oliveira Lopes "
"“A DIDÁTICA E A EDUCAÇÃO FÍSICA ESCOLAR: PROPOSIÇÕES E PRÁTICAS”","Em breve este conteúdo estará disponível.","Pedro Henrique Zubcich Caiado De Castro "
"EDU 02 -11319 DIDÁTICA E ESTÁGIO SUPERVISIONADO","Em breve este conteúdo estará disponível.","Phelipe Florez Rodrigues "
"METODOLOGIAS ATIVAS EM MATEMÁTICA: AÇÕES E REFLEXÕES NA FORMAÇÃO DE ALUNOS MONITORE","Em breve este conteúdo estará disponível.","Priscila Cardoso Petito "
"CONEXÕES SOCIOLÓGICAS: QUALIFICANDO O ENSINO DE SOCIOLOGIA NA GRADUAÇÃO E NA EDUCAÇÃO BÁSICA","Em breve este conteúdo estará disponível.","Raquel Balmant Emerique "
"DE ALUNO A DOCENTE: REFLETINDO SOBRE OS PAPÉIS SOCIAIS E POSSIBILIDADES DE PARTICIPAÇÃO NA ESCOLA","Em breve este conteúdo estará disponível.","Regiane Sbroion De Carvalho "
"PRODUÇÃO DE JOGOS PARA O ENSINO DE MEIO AMBIENTE ECOLOGIA E BIODIVERSIDADE","Em breve este conteúdo estará disponível.","Regina Rodrigues Lisbôa Mendes "
"A CONSTRUÇÃO DO CURRÍCULO NA FORM DE PROF DE QUI: ESTUDO SOBRE AS UNIVERS PÚBLICAS DO ESTADO DO RJ","Em breve este conteúdo estará disponível.","Renata Fernandes Braga Cordeiro "
"PORTAL DE PUBLICAÇÕES ELETRÔNICAS DO LATIC","Em breve este conteúdo estará disponível.","Rosana Carlos Vidal Nascimento "
"PROJETO PORTAL DE PUBLICAÇÕES ELETRÔNICAS DO LATIC","Em breve este conteúdo estará disponível.","Rosana Carlos Vidal Nascimento "
"EDUCAÇÃO MATEMÁTICA ESCOLAR NA FORMAÇÃO DE PROFESSORES","Em breve este conteúdo estará disponível.","Rosana De Oliveira "
"INTERFACES EDUCOMUNICATIVAS: MULHERES LÍDERES NOS CONTEXTOS LOCAL E GLOBAL","Em breve este conteúdo estará disponível.","Rosangela Malachias "
"AMBIÊNCIAS FORMATIVAS E OS USOS DAS TECNOLOGIAS NA EDUCAÇÃO BÁSICA","Em breve este conteúdo estará disponível.","Rosemary Dos Santos "
"I CURSO DE CAPACITAÇÃO EM AVALIAÇÃO PARA SERVIDORES DA UERJ.","Em breve este conteúdo estará disponível.","Sheila Regina Da Rocha De Magalhães "
"HISTÓRIA INTELECTUAL DE MULHERES AFRODESCENDENTES: EPISTEMOLOGIAS","Em breve este conteúdo estará disponível.","Sônia Beatriz Santos "
"PROJETO RELAÇÕES ÉTNICO-RACIAIS E PRÁTICAS ANTIRRACISTAS EM INSTITUIÇÕES EDUCACIONAIS","Em breve este conteúdo estará disponível.","Sônia Beatriz Santos "
"RELAÇÕES ÉTNICO-RACIAIS E PRÁTICAS ANTIRRACISTAS EM INSTITUIÇÕES EDUCACIONAIS","Em breve este conteúdo estará disponível.","Sônia Beatriz Santos "
